Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-14304,User not receiving password reset email,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,On Hold,Low,Medium,Low,Low,2025-06-04T22:15:28.000000,,,0,1,Wednesday,1,,,,0,2025-23
CR-14305,Error while uploading documents to intranet portal,Complaint,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Critical,High,High,2025-06-04T19:56:25.000000,2025-06-04T22:56:25.000000,2025-06-05T01:56:25.000000,0,4,Wednesday,1,3.0,3.0,6.0,0,2025-23
CR-14306,Network printer not visible in device list,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Low,Low,Low,2025-06-04T07:08:07.000000,2025-06-04T11:08:07.000000,2025-06-06T03:08:07.000000,0,0,Wednesday,1,4.0,40.0,44.0,0,2025-23
CR-14307,Printing jobs stuck in queue without error message,Hardware,Thor,Thor,Avengers,Service B,In Progress,Low,Critical,High,High,2025-06-04T03:28:48.000000,2025-06-04T07:28:48.000000,,0,3,Wednesday,1,4.0,,,0,2025-23
CR-14308,Unexpected logout from critical application during use,Complaint,John Cena,John Cena,Matrix,Service C,Closed,High,Medium,Low,Low,2025-06-04T20:19:22.000000,2025-06-05T04:19:22.000000,2025-06-06T08:19:22.000000,0,2,Wednesday,1,8.0,28.0,36.0,1,2025-23
CR-14309,Intermittent packet loss on WAN link,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-06-04T07:38:58.000000,2025-06-04T12:38:58.000000,2025-06-06T00:38:58.000000,0,1,Wednesday,1,5.0,36.0,41.0,1,2025-23
CR-14310,Time synchronization issue causing authentication failures,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-06-04T21:19:56.000000,2025-06-05T04:19:56.000000,2025-06-06T12:19:56.000000,0,1,Wednesday,1,7.0,32.0,39.0,1,2025-23
CR-14311,Scheduled report not generated or delivered,Access,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-06-04T14:44:42.000000,2025-06-04T20:44:42.000000,2025-06-06T09:44:42.000000,0,1,Wednesday,1,6.0,37.0,43.0,0,2025-23
CR-14312,Scheduled report not generated or delivered,Hardware,John Cena,John Cena,Matrix,Service B,Closed,High,Medium,Low,Medium,2025-06-04T23:24:58.000000,2025-06-05T05:24:58.000000,2025-06-06T12:24:58.000000,0,2,Wednesday,1,6.0,31.0,37.0,1,2025-23
CR-14313,Frequent disconnections from remote desktop session,Access,Captain Marvel,Captain Marvel,Avengers II,Service C,New,Medium,Medium,Medium,Medium,2025-06-04T13:48:16.000000,,,0,1,Wednesday,1,,,,0,2025-23
CR-14314,Antivirus alert triggered on user workstation,Software,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-06-04T22:10:50.000000,2025-06-05T01:10:50.000000,2025-06-06T06:10:50.000000,0,1,Wednesday,1,3.0,29.0,32.0,1,2025-23
CR-14315,File restore from backup failed for requested folder,Access,Hulk,Hulk,Avengers,Service B,New,Medium,Medium,Low,Medium,2025-06-04T15:45:35.000000,,,0,2,Wednesday,1,,,,0,2025-23
CR-14316,Incorrect data displayed in reporting dashboard,Access,Thor,Thor,Avengers,Service A,Closed,Medium,High,High,High,2025-06-04T10:12:13.000000,2025-06-04T18:12:13.000000,2025-06-05T10:12:13.000000,0,2,Wednesday,1,8.0,16.0,24.0,1,2025-23
CR-14317,User not receiving password reset email,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Medium,Medium,Low,2025-06-04T00:10:16.000000,2025-06-04T02:10:16.000000,2025-06-05T05:10:16.000000,1,2,Wednesday,0,2.0,27.0,29.0,1,2025-23
CR-14318,Shared network drive not accessible,Access,Loki,Loki,Avengers,Service A,Closed,Medium,High,Medium,Medium,2025-06-04T23:40:00.000000,2025-06-05T05:40:00.000000,2025-06-05T15:40:00.000000,1,2,Wednesday,0,6.0,10.0,16.0,1,2025-23
CR-14319,Single sign-on not working for cloud application,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-06-04T06:09:42.000000,2025-06-04T14:09:42.000000,2025-06-06T01:09:42.000000,0,2,Wednesday,1,8.0,35.0,43.0,1,2025-23
CR-14320,Access badge system not updating from central database,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-06-04T23:30:25.000000,2025-06-05T04:30:25.000000,2025-06-05T07:30:25.000000,0,4,Wednesday,1,5.0,3.0,8.0,0,2025-23
CR-14321,Barcode scanner not transmitting data to system,Network,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-06-04T02:22:12.000000,2025-06-04T04:22:12.000000,2025-06-05T11:22:12.000000,0,1,Wednesday,1,2.0,31.0,33.0,1,2025-23
CR-14322,Single user laptop not connecting to Wi-Fi,Facilities,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,High,2025-06-04T19:01:18.000000,2025-06-05T03:01:18.000000,2025-06-05T11:01:18.000000,1,5,Wednesday,0,8.0,8.0,16.0,1,2025-23
CR-14323,Queue processing stuck in payment application,Software,Thor,Thor,Avengers,Service B,In Progress,High,High,Medium,High,2025-06-04T23:52:43.000000,2025-06-05T05:52:43.000000,,0,2,Wednesday,1,6.0,,,0,2025-23
CR-14324,Auto-save not working in productivity application,Network,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,High,2025-06-04T22:41:06.000000,2025-06-05T06:41:06.000000,2025-06-05T17:41:06.000000,1,3,Wednesday,0,8.0,11.0,19.0,1,2025-23
CR-14325,User home drive not mapping at login,Data,John Wick,John Wick,Matrix,Service B,Closed,Medium,Medium,Low,Medium,2025-06-04T23:17:57.000000,2025-06-05T01:17:57.000000,2025-06-05T22:17:57.000000,0,1,Wednesday,1,2.0,21.0,23.0,0,2025-23
CR-14326,Frequent disconnections from remote desktop session,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,High,High,High,2025-06-04T04:22:31.000000,2025-06-04T10:22:31.000000,2025-06-05T02:22:31.000000,1,3,Wednesday,0,6.0,16.0,22.0,1,2025-23
CR-14327,Corrupted email attachments received internally,Network,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-06-04T05:20:53.000000,2025-06-04T11:20:53.000000,2025-06-04T15:20:53.000000,0,5,Wednesday,1,6.0,4.0,10.0,0,2025-23
CR-14328,Application not launching after latest OS update,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-06-04T12:14:30.000000,2025-06-04T15:14:30.000000,2025-06-05T01:14:30.000000,0,3,Wednesday,1,3.0,10.0,13.0,1,2025-23
CR-14329,Queue processing stuck in payment application,Complaint,Hulk,Hulk,Avengers,Service B,Closed,High,High,High,Medium,2025-06-04T21:47:54.000000,2025-06-05T04:47:54.000000,2025-06-05T16:47:54.000000,0,2,Wednesday,1,7.0,12.0,19.0,1,2025-23
CR-14330,File restore from backup failed for requested folder,Access,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-06-04T01:49:19.000000,2025-06-04T03:49:19.000000,2025-06-04T06:49:19.000000,0,4,Wednesday,1,2.0,3.0,5.0,0,2025-23
CR-14331,Broken link on intranet home page,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,High,High,High,2025-06-04T21:46:32.000000,2025-06-05T03:46:32.000000,2025-06-05T17:46:32.000000,0,2,Wednesday,1,6.0,14.0,20.0,1,2025-23
CR-14332,Intermittent packet loss on WAN link,Hardware,Captain America,Captain America,Avengers,Service C,Closed,High,Low,Low,Low,2025-06-04T22:39:08.000000,2025-06-05T04:39:08.000000,2025-06-06T23:39:08.000000,0,0,Wednesday,1,6.0,43.0,49.0,0,2025-23
CR-14333,Queue processing stuck in payment application,Data,Captain America,Captain America,Avengers,Service B,In Progress,Low,Medium,Medium,Medium,2025-06-04T13:02:59.000000,2025-06-04T15:02:59.000000,,0,2,Wednesday,1,2.0,,,0,2025-23
CR-14334,Incorrect user mapping in identity provider,Failure,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-06-04T02:51:01.000000,2025-06-04T06:51:01.000000,2025-06-04T11:51:01.000000,0,4,Wednesday,1,4.0,5.0,9.0,1,2025-23
CR-14335,Endpoint disk space critically low warning,Hardware,Loki,Loki,Avengers,Service B,Closed,Low,High,Medium,High,2025-06-04T14:54:16.000000,2025-06-04T22:54:16.000000,2025-06-05T05:54:16.000000,0,3,Wednesday,1,8.0,7.0,15.0,0,2025-23
CR-14336,User account locked after multiple failed login attempts,Hardware,Batman,Batman,Matrix,Service C,Closed,High,High,High,Medium,2025-06-04T12:46:51.000000,2025-06-04T20:46:51.000000,2025-06-05T16:46:51.000000,1,3,Wednesday,0,8.0,20.0,28.0,1,2025-23
CR-14337,User account locked after multiple failed login attempts,Complaint,Loki,Loki,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-06-04T10:16:05.000000,2025-06-04T16:16:05.000000,2025-06-06T14:16:05.000000,0,0,Wednesday,1,6.0,46.0,52.0,0,2025-23
CR-14338,Application crash when user attempts specific function,Hardware,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-06-04T05:12:27.000000,2025-06-04T12:12:27.000000,2025-06-05T02:12:27.000000,0,2,Wednesday,1,7.0,14.0,21.0,0,2025-23
CR-14339,Time-out errors when accessing CRM system,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Low,Low,2025-06-04T09:24:02.000000,2025-06-04T13:24:02.000000,2025-06-05T19:24:02.000000,0,1,Wednesday,1,4.0,30.0,34.0,1,2025-23
CR-14340,User account locked after multiple failed login attempts,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,High,High,Medium,2025-06-04T16:54:21.000000,2025-06-05T00:54:21.000000,2025-06-05T09:54:21.000000,0,2,Wednesday,1,8.0,9.0,17.0,1,2025-23
CR-14341,Frequent disconnections from remote desktop session,Complaint,Neo,Neo,Matrix,Service C,Closed,Medium,Medium,Medium,Low,2025-06-04T06:17:37.000000,2025-06-04T13:17:37.000000,2025-06-05T10:17:37.000000,1,1,Wednesday,0,7.0,21.0,28.0,0,2025-23
CR-14342,External website not reachable from corporate network,Access,Iron Man,Iron Man,Avengers,Service A,On Hold,Low,High,High,Medium,2025-06-05T11:03:42.000000,,,1,3,Thursday,0,,,,0,2025-23
CR-14343,Error while uploading documents to intranet portal,Access,Batman,Batman,Matrix,Service A,New,Medium,Medium,Medium,Low,2025-06-05T15:28:54.000000,,,0,1,Thursday,1,,,,0,2025-23
CR-14344,User home drive not mapping at login,Failure,Loki,Loki,Avengers,Service A,Closed,Low,Critical,High,High,2025-06-05T09:32:01.000000,2025-06-05T14:32:01.000000,2025-06-05T17:32:01.000000,1,4,Thursday,0,5.0,3.0,8.0,0,2025-23
CR-14345,Shared network drive not accessible,Software,Iron Man,Iron Man,Avengers,Service C,In Progress,High,High,High,High,2025-06-05T14:28:33.000000,2025-06-05T19:28:33.000000,,0,2,Thursday,1,5.0,,,0,2025-23
CR-14346,User account locked after multiple failed login attempts,Network,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-06-05T11:56:46.000000,2025-06-05T19:56:46.000000,2025-06-06T21:56:46.000000,0,2,Thursday,1,8.0,26.0,34.0,1,2025-23
CR-14347,Application not launching after latest OS update,Network,Hulk,Hulk,Avengers,Service B,Closed,High,Low,Low,Low,2025-06-05T06:25:20.000000,2025-06-05T13:25:20.000000,2025-06-08T05:25:20.000000,0,0,Thursday,1,7.0,64.0,71.0,1,2025-23
CR-14348,Application crash when user attempts specific function,Data,Captain America,Captain America,Avengers,Service B,Closed,Medium,Critical,High,High,2025-06-05T03:33:25.000000,2025-06-05T11:33:25.000000,2025-06-05T13:33:25.000000,0,3,Thursday,1,8.0,2.0,10.0,0,2025-23
CR-14349,Frequent password prompts despite valid authentication,Software,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Low,Low,Low,2025-06-05T23:58:19.000000,2025-06-06T07:58:19.000000,2025-06-09T00:58:19.000000,0,1,Thursday,1,8.0,65.0,73.0,1,2025-23
CR-14350,Batch job failed to complete overnight,Hardware,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-06-05T04:43:24.000000,2025-06-05T11:43:24.000000,2025-06-05T16:43:24.000000,0,4,Thursday,1,7.0,5.0,12.0,1,2025-23
CR-14351,Incorrect group membership causing access escalation,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,High,High,Medium,2025-06-05T03:21:40.000000,2025-06-05T08:21:40.000000,2025-06-06T04:21:40.000000,0,2,Thursday,1,5.0,20.0,25.0,1,2025-23
CR-14352,Queue processing stuck in payment application,Hardware,Thor,Thor,Avengers,Service A,Closed,Medium,High,High,High,2025-06-05T03:21:31.000000,2025-06-05T06:21:31.000000,2025-06-05T22:21:31.000000,0,2,Thursday,1,3.0,16.0,19.0,1,2025-23
CR-14353,Batch job failed to complete overnight,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,Medium,Low,Medium,2025-06-05T14:04:22.000000,2025-06-05T18:04:22.000000,2025-06-06T23:04:22.000000,0,2,Thursday,1,4.0,29.0,33.0,1,2025-23
CR-14354,Intermittent packet loss on WAN link,Complaint,Iron Man,Iron Man,Avengers,Service A,New,Low,Critical,High,High,2025-06-05T09:31:35.000000,,,0,5,Thursday,1,,,,0,2025-23
CR-14355,Frequent disconnections from remote desktop session,Facilities,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-06-05T07:56:59.000000,2025-06-05T13:56:59.000000,2025-06-06T18:56:59.000000,0,1,Thursday,1,6.0,29.0,35.0,1,2025-23
CR-14356,Incorrect language settings applied to user interface,Software,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-06-05T12:00:49.000000,2025-06-05T20:00:49.000000,2025-06-06T09:00:49.000000,0,2,Thursday,1,8.0,13.0,21.0,0,2025-23
CR-14357,Incorrect language settings applied to user interface,Failure,Hulk,Hulk,Avengers,Service C,Closed,High,High,High,High,2025-06-05T08:35:25.000000,2025-06-05T16:35:25.000000,2025-06-06T08:35:25.000000,0,3,Thursday,1,8.0,16.0,24.0,1,2025-23
CR-14358,File restore from backup failed for requested folder,Failure,Loki,Loki,Avengers,Service C,Closed,High,Critical,High,High,2025-06-05T17:18:42.000000,2025-06-05T21:18:42.000000,2025-06-06T01:18:42.000000,0,4,Thursday,1,4.0,4.0,8.0,0,2025-23
CR-14359,Error while uploading documents to intranet portal,Failure,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-06-05T03:36:02.000000,2025-06-05T11:36:02.000000,2025-06-05T19:36:02.000000,0,3,Thursday,1,8.0,8.0,16.0,1,2025-23
CR-14360,Data export from system failing with error,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,High,Medium,High,2025-06-05T06:35:48.000000,2025-06-05T11:35:48.000000,2025-06-06T03:35:48.000000,0,3,Thursday,1,5.0,16.0,21.0,1,2025-23
CR-14361,User profile not loading correctly after login,Failure,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,High,2025-06-05T04:50:00.000000,2025-06-05T12:50:00.000000,2025-06-05T18:50:00.000000,0,5,Thursday,1,8.0,6.0,14.0,1,2025-23
CR-14362,Time-out errors when accessing CRM system,Network,Loki,Loki,Avengers,Service A,Closed,Low,Critical,High,High,2025-06-05T13:50:14.000000,2025-06-05T20:50:14.000000,2025-06-06T02:50:14.000000,0,3,Thursday,1,7.0,6.0,13.0,1,2025-23
CR-14363,Mobile app login failing for all users,Data,Loki,Loki,Avengers,Service A,Closed,Low,Medium,Low,Medium,2025-06-05T18:17:24.000000,2025-06-05T22:17:24.000000,2025-06-06T22:17:24.000000,0,2,Thursday,1,4.0,24.0,28.0,0,2025-23
CR-14364,User home drive not mapping at login,Software,John Wick,John Wick,Matrix,Service A,Closed,Low,Low,Low,Low,2025-06-05T15:01:01.000000,2025-06-05T18:01:01.000000,2025-06-07T04:01:01.000000,0,1,Thursday,1,3.0,34.0,37.0,0,2025-23
CR-14365,User home drive not mapping at login,Network,Captain America,Captain America,Avengers,Service C,Closed,High,High,High,Low,2025-06-05T17:49:39.000000,2025-06-06T01:49:39.000000,2025-06-06T10:49:39.000000,0,3,Thursday,1,8.0,9.0,17.0,1,2025-23
CR-14366,Firewall blocking legitimate traffic to partner system,Hardware,Thor,Thor,Avengers,Service A,Closed,High,Low,Low,Low,2025-06-05T22:59:11.000000,2025-06-06T03:59:11.000000,2025-06-09T03:59:11.000000,0,0,Thursday,1,5.0,72.0,77.0,1,2025-23
CR-14367,Scheduled report not generated or delivered,Hardware,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-06-05T20:26:02.000000,2025-06-06T04:26:02.000000,2025-06-06T05:26:02.000000,0,5,Thursday,1,8.0,1.0,9.0,0,2025-23
CR-14368,User unable to change expired password remotely,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,High,Critical,Medium,High,2025-06-05T19:43:43.000000,2025-06-05T23:43:43.000000,2025-06-06T04:43:43.000000,0,4,Thursday,1,4.0,5.0,9.0,1,2025-23
CR-14369,Old password still granting access to system,Complaint,Loki,Loki,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-06-05T12:41:44.000000,2025-06-05T17:41:44.000000,2025-06-06T06:41:44.000000,0,1,Thursday,1,5.0,13.0,18.0,0,2025-23
CR-14370,Corrupt file detected in document management system,Data,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,High,Medium,2025-06-05T22:25:28.000000,2025-06-06T01:25:28.000000,2025-06-06T17:25:28.000000,0,3,Thursday,1,3.0,16.0,19.0,1,2025-23
CR-14371,Network latency observed between data center and branch office,Failure,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Critical,High,High,2025-06-05T06:22:03.000000,2025-06-05T14:22:03.000000,2025-06-06T01:22:03.000000,0,3,Thursday,1,8.0,11.0,19.0,1,2025-23
CR-14372,Single user laptop not connecting to Wi-Fi,Data,Thor,Thor,Avengers,Service B,Closed,High,High,High,High,2025-06-05T14:12:13.000000,2025-06-05T17:12:13.000000,2025-06-06T06:12:13.000000,0,3,Thursday,1,3.0,13.0,16.0,1,2025-23
CR-14373,Incorrect display of currency values in front-end,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-06-05T06:10:56.000000,2025-06-05T09:10:56.000000,2025-06-06T18:10:56.000000,0,2,Thursday,1,3.0,33.0,36.0,1,2025-23
CR-14374,Corrupt file detected in document management system,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Critical,High,High,2025-06-05T17:36:10.000000,2025-06-05T20:36:10.000000,2025-06-05T22:36:10.000000,0,4,Thursday,1,3.0,2.0,5.0,0,2025-23
CR-14375,User unable to change expired password remotely,Network,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,High,High,High,2025-06-05T00:23:00.000000,2025-06-05T06:23:00.000000,2025-06-05T13:23:00.000000,0,3,Thursday,1,6.0,7.0,13.0,0,2025-23
CR-14376,New software installation failing on endpoint,Access,Thor,Thor,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-06-05T06:12:25.000000,2025-06-05T08:12:25.000000,2025-06-06T11:12:25.000000,0,1,Thursday,1,2.0,27.0,29.0,0,2025-23
CR-14377,Time synchronization issue causing authentication failures,Access,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Medium,Low,Low,2025-06-05T07:24:19.000000,2025-06-05T13:24:19.000000,2025-06-07T01:24:19.000000,0,1,Thursday,1,6.0,36.0,42.0,1,2025-23
CR-14378,Time-out errors when accessing CRM system,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Critical,Medium,Medium,2025-06-05T14:21:27.000000,2025-06-05T18:21:27.000000,2025-06-06T05:21:27.000000,0,3,Thursday,1,4.0,11.0,15.0,1,2025-23
CR-14379,Application response time extremely slow for multiple users,Data,Thor,Thor,Avengers,Service B,Closed,High,High,High,High,2025-06-05T20:37:33.000000,2025-06-05T23:37:33.000000,2025-06-06T10:37:33.000000,0,3,Thursday,1,3.0,11.0,14.0,1,2025-23
CR-14380,New software installation failing on endpoint,Network,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-06-05T23:38:52.000000,2025-06-06T01:38:52.000000,2025-06-06T08:38:52.000000,0,4,Thursday,1,2.0,7.0,9.0,1,2025-23
CR-14381,Incorrect language settings applied to user interface,Data,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Critical,High,High,2025-06-05T14:24:01.000000,2025-06-05T19:24:01.000000,2025-06-06T00:24:01.000000,0,5,Thursday,1,5.0,5.0,10.0,1,2025-23
CR-14382,Barcode scanner not transmitting data to system,Hardware,Hulk,Hulk,Avengers,Service A,Closed,Low,High,High,High,2025-06-05T14:02:46.000000,2025-06-05T17:02:46.000000,2025-06-05T23:02:46.000000,0,2,Thursday,1,3.0,6.0,9.0,0,2025-23
CR-14383,Newly created user not syncing to all systems,Failure,Hulk,Hulk,Avengers,Service C,Closed,High,Critical,High,High,2025-06-05T03:34:34.000000,2025-06-05T08:34:34.000000,2025-06-05T12:34:34.000000,0,3,Thursday,1,5.0,4.0,9.0,0,2025-23
CR-14384,Email client not connecting to mail server,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,Medium,High,2025-06-05T00:24:10.000000,2025-06-05T06:24:10.000000,2025-06-05T10:24:10.000000,0,4,Thursday,1,6.0,4.0,10.0,0,2025-23
CR-14385,Newly created user not syncing to all systems,Data,Hulk,Hulk,Avengers,Service B,New,Low,High,High,High,2025-06-05T21:22:26.000000,,,0,3,Thursday,1,,,,0,2025-23
CR-14386,Endpoint not checking in with management server,Complaint,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-06-05T01:46:12.000000,2025-06-05T08:46:12.000000,2025-06-05T16:46:12.000000,0,5,Thursday,1,7.0,8.0,15.0,1,2025-23
CR-14387,User profile not loading correctly after login,Data,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-06-05T18:41:32.000000,2025-06-05T20:41:32.000000,2025-06-06T08:41:32.000000,0,1,Thursday,1,2.0,12.0,14.0,0,2025-23
CR-14388,Printer not printing documents from any workstation,Access,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,High,2025-06-05T00:05:07.000000,2025-06-05T05:05:07.000000,2025-06-05T16:05:07.000000,0,4,Thursday,1,5.0,11.0,16.0,1,2025-23
CR-14389,User unable to access HR portal,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Critical,High,Medium,2025-06-05T18:20:18.000000,2025-06-06T00:20:18.000000,2025-06-06T04:20:18.000000,1,5,Thursday,0,6.0,4.0,10.0,0,2025-23
CR-14390,Error 500 returned by internal web application,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,High,High,2025-06-05T10:19:15.000000,2025-06-05T17:19:15.000000,2025-06-06T10:19:15.000000,1,2,Thursday,0,7.0,17.0,24.0,1,2025-23
CR-14391,Unexpected logout from critical application during use,Complaint,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Low,Low,2025-06-05T18:56:59.000000,2025-06-05T20:56:59.000000,2025-06-07T05:56:59.000000,0,1,Thursday,1,2.0,33.0,35.0,1,2025-23
CR-14392,Unexpected logout from critical application during use,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Low,2025-06-05T11:30:23.000000,2025-06-05T14:30:23.000000,2025-06-06T12:30:23.000000,0,1,Thursday,1,3.0,22.0,25.0,0,2025-23
CR-14393,Unexpected reboot of application server,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-06-05T01:37:37.000000,2025-06-05T07:37:37.000000,2025-06-06T08:37:37.000000,0,2,Thursday,1,6.0,25.0,31.0,1,2025-23
CR-14394,Network printer not visible in device list,Software,Hulk,Hulk,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-06-05T17:43:34.000000,2025-06-05T22:43:34.000000,2025-06-06T18:43:34.000000,0,2,Thursday,1,5.0,20.0,25.0,0,2025-23
CR-14395,Firewall blocking legitimate traffic to partner system,Access,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,Medium,2025-06-05T11:02:26.000000,2025-06-05T13:02:26.000000,2025-06-05T16:02:26.000000,0,5,Thursday,1,2.0,3.0,5.0,0,2025-23
CR-14396,Database connection error in production application,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,High,High,High,2025-06-05T22:10:41.000000,2025-06-06T01:10:41.000000,2025-06-06T08:10:41.000000,0,2,Thursday,1,3.0,7.0,10.0,0,2025-23
CR-14397,Auto-save not working in productivity application,Hardware,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,Medium,2025-06-05T04:05:15.000000,2025-06-05T08:05:15.000000,2025-06-05T17:05:15.000000,0,5,Thursday,1,4.0,9.0,13.0,1,2025-23
CR-14398,Application crash when user attempts specific function,Software,Neo,Neo,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-06-05T12:00:43.000000,2025-06-05T15:00:43.000000,2025-06-06T11:00:43.000000,0,1,Thursday,1,3.0,20.0,23.0,0,2025-23
CR-14399,Scheduled report not generated or delivered,Hardware,Captain America,Captain America,Avengers,Service C,Closed,High,Low,Low,Low,2025-06-05T01:23:30.000000,2025-06-05T03:23:30.000000,2025-06-07T06:23:30.000000,0,0,Thursday,1,2.0,51.0,53.0,1,2025-23
CR-14400,Access badge system not updating from central database,Complaint,Hulk,Hulk,Avengers,Service B,In Progress,High,Low,Low,Low,2025-06-05T01:44:02.000000,2025-06-05T05:44:02.000000,,0,1,Thursday,1,4.0,,,0,2025-23
CR-14401,Unexpected logout from critical application during use,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-06-05T05:49:21.000000,2025-06-05T13:49:21.000000,2025-06-06T18:49:21.000000,0,2,Thursday,1,8.0,29.0,37.0,1,2025-23
CR-14402,USB device not recognized on workstation,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Critical,High,High,2025-06-05T06:16:18.000000,2025-06-05T10:16:18.000000,2025-06-05T17:16:18.000000,0,3,Thursday,1,4.0,7.0,11.0,1,2025-23
CR-14403,Auto-save not working in productivity application,Facilities,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,High,2025-06-05T18:48:10.000000,2025-06-05T22:48:10.000000,2025-06-05T23:48:10.000000,0,5,Thursday,1,4.0,1.0,5.0,0,2025-23
CR-14404,Barcode scanner not transmitting data to system,Access,Hulk,Hulk,Avengers,Service B,Closed,High,High,Medium,Medium,2025-06-05T11:41:50.000000,2025-06-05T13:41:50.000000,2025-06-05T19:41:50.000000,0,3,Thursday,1,2.0,6.0,8.0,0,2025-23
CR-14405,Error 500 returned by internal web application,Facilities,John Wick,John Wick,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-06-05T21:48:53.000000,2025-06-05T23:48:53.000000,2025-06-07T02:48:53.000000,1,1,Thursday,0,2.0,27.0,29.0,1,2025-23
